Degree.BA,Degree.BS,Degree.Other,info.major,pre.info.major,aero.major,pre.health.major,ee.major,art.major,anthro.major,me.major,comm.major,cse.major,biochem.major,soc.major,math.major,mse.major,geo.major,polysci.major,esrm.major,business.major,ocean.major,cellbio.major,chid.major,swedish.major,jsis.major,econ.major,speech.hear.major,classics.major,bioe.major,graduation_date,Job_type,Months,Career_fairs_resource,Employer_website_resource,UW_resource,Employer_Visits_resource,LinkedIn_resource,Third_party_resource,Husky_Jobs_Resource,workshops_resource,connections_resource,advisors_resource,LinkedIn,Employer_campus_visits,Husky_Jobs,Friends_and_family_connections,UW_major-specific_job_site_(e.g._iCareers),Job_postings_on_employer's_website,Career_fair,Third_party_job_search_site_not_associated_with_UW_(e.g._Indeed),None_of_these,online_job_postings,no_career_fairs,resume_hrs,cover_letter_hours,finding_employment,good_at_resume_cover_letters,knowledge,networking,interviews,self-confidence,internships,cumulative_GPA,in-major_GPA,class_standing_,gender,Asian,White,Middle_Eastern,Pacific_Islander,Black,Native_American,has_position
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/18,3,3,3,3,2,2,1,3,2,1,0,0,0,0,0,0,0,1,1,0,0,30,3,5,1,1,1,1,0,1,4,1,3.72,3.8,4,1,1,0,0,0,0,0,
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/1/20,1,3,3,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,20,3,3,1,0,1,2,0,1,4,1,3.7,3.7,2,0,0,1,0,0,0,0,
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/10/17,3,5,1,3,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,30,1,3,1,0,0,1,-1,1,2,0,3.57,3.51,6,0,0,1,0,0,0,0,
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/10/17,2,5,2,3,0,0,1,1,1,1,2,1,0,0,1,1,0,0,0,0,0,3,1,0,0,1,-1,-1,0,1,3,1,3.2,3.5,2,1,0,1,0,0,0,0,
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/15/18,3,3,1,3,2,3,1,0,2,1,3,0,0,1,0,1,0,0,0,0,0,2,1,2,1,2,1,0,-1,1,4,4,3.4,3.7,4,1,0,1,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/13/17,1,4,2,3,3,2,3,0,3,0,2,1,0,0,1,0,0,0,0,0,0,55,5,3,2,0,0,0,1,0,4,2,3.6,3.6,4,0,0,0,1,0,0,0,
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/14/19,2,8,1,3,1,0,1,1,3,0,3,0,0,0,0,0,0,1,0,0,0,5,0,3,2,0,0,0,0,1,3,0,3.5,4,3,0,1,0,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/10/20,1,1,2,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,2,1,3,3,-1,0,1,0,1,3,1,3.4,3.6,2,0,1,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/13/19,2,3,0,2,2,0,0,3,3,2,2,0,0,0,1,1,0,0,0,0,0,3,0,2,1,0,0,1,-1,0,3,0,3.7,3.73,3,1,0,1,0,0,1,1,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/10/17,3,4,2,3,2,1,2,2,3,2,2,1,0,0,0,1,0,0,1,0,0,50,5,1,2.5,-1,1,1,-1,0,2,1,3.55,3.7,6,0,1,1,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/10/17,3,5,3,3,3,3,2,3,2,2,3,1,0,0,0,0,0,0,1,0,0,50,3,2,3,2,1,1,2,1,3,1,3.01,3.4,6,1,0,1,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/13/15,3,1,2,3,1,1,2,1,2,1,3,1,1,1,1,0,1,0,0,0,0,5,3,2,2,0,0,-1,0,-1,2,1,3.35,3.45,6,1,1,0,0,0,0,0,
