info.major,pre.info.major,aero.major,pre.health.major,ee.major,art.major,anthro.major,me.major,comm.major,cse.major,biochem.major,soc.major,math.major,mse.major,geo.major,polysci.major,esrm.major,business.major,ocean.major,cellbio.major,chid.major,swedish.major,jsis.major,econ.major,speech.hear.major,classics.major,bioe.major,graduation_date,Job_type,Months,LinkedIn_resource,Employer_Visits_resource,Husky_Jobs_Resource,connections_resource,UW_resource,Employer_website_resource,Career_fairs_resource,Third_party_resource,workshops_resource,advisors_resource,LinkedIn,Employer_campus_visits,Husky_Jobs,Friends_and_family_connections,UW_major-specific_job_site_(e.g._iCareers),Job_postings_on_employer's_website,Career_fair,Third_party_job_search_site_not_associated_with_UW_(e.g._Indeed),None_of_these,online_job_postings,no_career_fairs,resume_hrs,cover_letter_hours,finding_employment,good_at_resume_cover_letters,knowledge,networking,interviews,self-confidence,internships,cumulative_GPA,in-major_GPA,class_standing_,gender,Asian,White,Middle_Eastern,Pacific_Islander,Black,Native_American,has_position
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/2018,2,0.5,0,0,3,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,1,0,-2,0,2,2,3.5,3.5,4,1,0,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6/19/2019,1,2,1,0,0,3,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,6,2,1,3,-1,-1,-1,1,2,1,1,3.4,0,4,0,0,1,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/2018,3,0.5,0,2,0,0,0,2,3,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,1,1,3,2,3.3,3.75,4,1,1,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6/7/2020,1,5,1,1,1,3,1,3,3,3,3,1,0,0,0,1,0,0,1,1,0,13,2,3,0,0,1,0,1,1,3,0,3.66,3.9,2,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/11/2018,2,3,2,1,3,3,2,3,0,3,0,0,0,0,0,0,1,0,0,0,0,25,0,3,5,0,1,0,1,1,4,1,2.6,3,4,1,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/31/2018,3,3,3,2,1,2,3,1,0,2,1,2,0,0,0,0,0,0,0,0,1,60,0,3,2,0,0,-1,1,-1,2,1,3.62,3.6,4,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/13/2018,3,1,3,2,2,1,3,2,1,3,1,0,0,0,0,0,0,0,0,0,1,5,1,1,1,0,1,2,1,1,4,0,3.79,3.85,4,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3/21/2018,3,1,1,0,2,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,3,1,-1,1,1,0,1,3,1,3.83,3.72,5,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/16/2018,3,2,1,3,3,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,20,8,1,2,2,1,1,2,0,4,2,3.6,3.53,5,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6/12/2019,1,1,1,0,3,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,2,1,-1,2,1,2,3,1,3.38,3.9,3,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3/22/2019,2,1,0,0,1,3,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,2,1,3,4,0,2,1,-2,1,4,1,3.75,4,3,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6/13/2018,3,3,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,3,15,1,-1,1,0,-1,0,2,1,3.92,3.65,5,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6/12/2018,1,1,1,1,3,0,3,3,0,3,1,1,0,0,0,0,0,0,0,1,0,10,0,2,2,0,0,-1,-2,1,3,3,3.3,3.7,5,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/6/2016,3,5,0,3,3,0,1,3,1,2,2,3,0,0,0,0,0,1,0,0,0,500,2,24,24,0,0,2,0,1,4,2,3.3,3.7,6,1,1,0,0,0,0,0,1
